accession	gene	function	normal	MMS
YIL115C	NUP159	Nucleoporin, subunit of the nuclear pore complex that is found exclusively on the cytoplasmic side, member of the Nup82 subcomplex, required for mRNA export	NA	NA
YIL116W	HIS5	Histidinol-phosphate aminotransferase, catalyzes the seventh step in histidine biosynthesis	Down	NA
YIL118W	RHO3	Non-essential small GTPase of the Rho/Rac subfamily of Ras-like proteins involved in the establishment of cell polarity	NA	NA
YIL120W	QDR1	Multidrug transporter of the major facilitator superfamily, required for resistance to quinidine, ketoconazole, fluconazole, and barban	NA	NA
YIL124W	AYR1	NADPH-dependent 1-acyl dihydroxyacetone phosphate reductase found in lipid particles, ER, and mitochondrial outer membrane	NA	NA
YIL125W	KGD1	Component of the mitochondrial alpha-ketoglutarate dehydrogenase complex, which catalyzes a key step in the tricarboxylic acid (TCA) cycle, the oxidative decarboxylation of alpha-ketoglutarate to form succinyl-CoA	NA	Up
YIL126W	STH1	ATPase component of the RSC chromatin remodeling complex	NA	NA
YIL128W	MET18	DNA repair and TFIIH regulator, required for both nucleotide excision repair (NER) and RNA polymerase II (RNAP II) transcription	NA	NA
YIL129C	TAO3	Component of the RAM signaling network that is involved in regulation of Ace2p activity and cellular morphogenesis, interacts with protein kinase Cbk1p and also with Kic1p	NA	NA
YIL133C	RPL16A	N-terminally acetylated protein component of the large (60S) ribosomal subunit, binds to 5.8 S rRNA	Down	NA
YIL136W	OM45	Protein of unknown function, major constituent of the mitochondrial outer membrane	NA	NA
YIL137C	TMA108	Protein that associates with ribosomes and is involved in ribosome biogenesis	NA	NA
YIL142W	CCT2	Subunit beta of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo	NA	NA
YIL143C	SSL2	Component of the holoenzyme form of RNA polymerase transcription factor TFIIH, has DNA-dependent ATPase/helicase activity and is required, with Rad3p, for unwinding promoter DNA	NA	NA
YIL145C	PAN6	Pantothenate synthase, also known as pantoate-beta-alanine ligase, required for pantothenic acid biosynthesis, deletion causes pantothenic acid auxotrophy, homologous to E. coli panC	NA	NA
YIL148W	RPL40A	Fusion protein, identical to Rpl40Bp, that is cleaved to yield ubiquitin and a ribosomal protein of the large (60S) ribosomal subunit with similarity to rat L40	Down	Down
YIL149C	MLP2	Myosin-like protein associated with the nuclear envelope, connects the nuclear pore complex with the nuclear interior	NA	NA
YIL150C	MCM10	Essential chromatin-associated protein involved in the initiation of DNA replication	NA	NA
YIL155C	GUT2	Mitochondrial glycerol-3-phosphate dehydrogenase	NA	NA
YIL156W	UBP7	Ubiquitin-specific protease that cleaves ubiquitin-protein fusions	NA	NA
YIL158W	AIM20	Putative protein of unknown function	NA	NA
YIL159W	BNR1	Formin, nucleates the formation of linear actin filaments, involved in cell processes such as budding and mitotic spindle orientation which require the formation of polarized actin cables, functionally redundant with BNI1	NA	NA
YIL161W	YIL161W	Putative protein of unknown function	NA	NA
YIL166C	YIL166C	Putative protein with similarity to the allantoate permease (Dal5p) subfamily of the major facilitator superfamily	NA	NA
YIL169C	YIL169C	Putative protein of unknown function	NA	NA
YIR002C	MPH1	Member of the DEAH family of helicases, functions in an error-free DNA damage bypass pathway that involves homologous recombination, binds to flap DNA and stimulates activity of Rad27p and Dna2p	NA	Down
YIR003W	AIM21	Protein of unknown function involved in mitochondrial migration along actin filament	NA	Up
YIR006C	PAN1	Part of actin cytoskeleton-regulatory complex Pan1p-Sla1p-End3p, associates with actin patches on the cell cortex	NA	NA
YIR007W	YIR007W	Putative protein of unknown function	NA	NA
YIR008C	PRI1	Subunit of DNA primase, which is required for DNA synthesis and double-strand break repair	NA	NA
YIR010W	DSN1	Essential component of the MIND kinetochore complex (Mtw1p Including Nnf1p-Nsl1p-Dsn1p) which joins kinetochore subunits contacting DNA to those contacting microtubules	NA	NA
YIR011C	STS1	Protein that interacts with the karyopherin Srp1p	Up	NA
YIR013C	GAT4	Protein containing GATA family zinc finger motifs	NA	NA
YIR018W	YAP5	Basic leucine zipper (bZIP) transcription factor	NA	NA
YIR019C	MUC1	GPI-anchored cell surface glycoprotein (flocculin) required for pseudohyphal formation, invasive growth, flocculation, and biofilms	NA	NA
YIR023W	DAL81	Positive regulator of genes in multiple nitrogen degradation pathways	NA	Up
YIR028W	DAL4	Allantoin permease	NA	NA
YIR029W	DAL2	Allantoicase, converts allantoate to urea and ureidoglycolate in the second step of allantoin degradation	NA	NA
YIR034C	LYS1	Saccharopine dehydrogenase (NAD+, L-lysine-forming), catalyzes the conversion of saccharopine to L-lysine, which is the final step in the lysine biosynthesis pathway	NA	NA
YIR035C	YIR035C	Putative cytoplasmic protein of unknown function	NA	NA
YIR036C	IRC24	Putative benzil reductase	NA	NA
YIR037W	HYR1	Thiol peroxidase that functions as a hydroperoxide receptor to sense intracellular hydroperoxide levels and transduce a redox signal to the Yap1p transcription factor	NA	NA
YIR038C	GTT1	ER associated glutathione S-transferase capable of homodimerization	Down	NA
YJL001W	PRE3	Beta 1 subunit of the 20S proteasome, responsible for cleavage after acidic residues in peptides	NA	NA
YJL002C	OST1	Alpha subunit of the oligosaccharyltransferase complex of the ER lumen, which catalyzes asparagine-linked glycosylation of newly synthesized proteins	NA	NA
YJL005W	CYR1	Adenylate cyclase, required for cAMP production and cAMP-dependent protein kinase signaling	NA	NA
YJL008C	CCT8	Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo	NA	NA
YJL012C	VTC4	Vacuolar membrane polyphosphate polymerase	NA	NA
YJL013C	MAD3	Subunit of the spindle-assembly checkpoint complex, which delays anaphase onset in cells with defects in mitotic spindle assembly	NA	NA
YJL014W	CCT3	Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo	Down	NA
YJL020C	BBC1	Protein possibly involved in assembly of actin patches	NA	NA
YJL026W	RNR2	Ribonucleotide-diphosphate reductase (RNR), small subunit	NA	NA
YJL029C	VPS53	Component of the GARP (Golgi-associated retrograde protein) complex, Vps51p-Vps52p-Vps53p-Vps54p, which is required for the recycling of proteins from endosomes to the late Golgi	NA	NA
YJL030W	MAD2	Component of the spindle-assembly checkpoint complex, which delays the onset of anaphase in cells with defects in mitotic spindle assembly	NA	Up
YJL033W	HCA4	Putative nucleolar DEAD box RNA helicase	NA	NA
YJL034W	KAR2	ATPase involved in protein import into the ER, also acts as a chaperone to mediate protein folding in the ER and may play a role in ER export of soluble proteins	NA	Up
YJL039C	NUP192	Essential structural subunit of the nuclear pore complex (NPC), localizes to the nuclear periphery of nuclear pores, homologous to human p205	NA	NA
YJL041W	NSP1	Essential component of the nuclear pore complex, which mediates nuclear import and export, found in both the Nup82 and Nic96 complexes	NA	NA
YJL042W	MHP1	Microtubule-associated protein involved in assembly and stabilization of microtubules	NA	Down
YJL046W	AIM22	Putative lipoate-protein ligase, required along with Lip2 and Lip5 for lipoylation of Lat1p and Kgd2p	NA	NA
YJL050W	MTR4	ATP-dependent 3'-5' RNA helicase of the Dead-box family, involved in nuclear RNA processing and degradation both as a component of the TRAMP complex and in TRAMP independent processes	NA	NA
YJL051W	IRC8	Bud tip localized protein of unknown function	NA	NA
YJL052W	TDH1	Glyceraldehyde-3-phosphate dehydrogenase, isozyme 1, involved in glycolysis and gluconeogenesis	Up	Up
YJL053W	PEP8	Vacuolar protein sorting protein that forms part of the multimeric membrane-associated retromer complex along with Vps35p, Vps29p, Vps17p, and Vps5p	NA	NA
YJL054W	TIM54	Component of the mitochondrial TIM22 complex involved in insertion of polytopic proteins into the inner membrane	NA	Up
YJL055W	YJL055W	Putative protein of unknown function, proposed to be involved in the metabolism of purine and pyrimidine base analogues	NA	NA
YJL060W	BNA3	Kynurenine aminotransferase, catalyzes formation of kynurenic acid from kynurenine	NA	Up
YJL068C	YJL068C	Non-essential intracellular esterase that can function as an S-formylglutathione hydrolase	NA	NA
YJL069C	UTP18	Possible U3 snoRNP protein involved in maturation of pre-18S rRNA, based on computational analysis of large-scale protein-protein interaction data	NA	NA
YJL071W	ARG2	Acetylglutamate synthase (glutamate N-acetyltransferase), mitochondrial enzyme that catalyzes the first step in the biosynthesis of the arginine precursor ornithine	NA	NA
YJL074C	SMC3	Subunit of the multiprotein cohesin complex required for sister chromatid cohesion in mitotic cells	NA	NA
YJL076W	NET1	Core subunit of the RENT complex, which is a complex involved in nucleolar silencing and telophase exit	NA	NA
YJL080C	SCP160	Essential RNA-binding G protein effector of mating response pathway, mainly associated with nuclear envelope and ER, interacts in mRNA-dependent manner with translating ribosomes via multiple KH domains, similar to vertebrate vigilins	NA	NA
YJL081C	ARP4	Nuclear actin-related protein involved in chromatin remodeling, component of chromatin-remodeling enzyme complexes	NA	NA
YJL082W	IML2	Protein of unknown function	NA	NA
YJL087C	TRL1	tRNA ligase, required for tRNA splicing and for both splicing and translation of HAC1 mRNA in the UPR	NA	NA
YJL088W	ARG3	Ornithine carbamoyltransferase (carbamoylphosphate:L-ornithine carbamoyltransferase), catalyzes the sixth step in the biosynthesis of the arginine precursor ornithine	NA	NA
YJL090C	DPB11	Replication initiation protein that loads DNA pol epsilon onto pre-replication complexes at origins	NA	NA
YJL092W	SRS2	DNA helicase and DNA-dependent ATPase involved in DNA repair, needed for proper timing of commitment to meiotic recombination and transition from Meiosis I to II	NA	NA
YJL094C	KHA1	Putative K+/H+ antiporter with a probable role in intracellular cation homeostasis, localized to Golgi vesicles and detected in highly purified mitochondria in high-throughput studies	NA	NA
YJL095W	BCK1	Mitogen-activated protein (MAP) kinase kinase kinase acting in the protein kinase C signaling pathway, which controls cell integrity	NA	NA
YJL096W	MRPL49	Mitochondrial ribosomal protein of the large subunit	NA	NA
YJL100W	LSB6	Type II phosphatidylinositol 4-kinase that binds Las17p, which is a homolog of human Wiskott-Aldrich Syndrome protein involved in actin patch assembly and actin polymerization	NA	NA
YJL101C	GSH1	Gamma glutamylcysteine synthetase catalyzes the first step in glutathione (GSH) biosynthesis	NA	NA
YJL103C	GSM1	Putative zinc cluster protein of unknown function	NA	NA
YJL106W	IME2	Serine/threonine protein kinase involved in activation of meiosis, associates with Ime1p and mediates its stability, activates Ndt80p	NA	NA
YJL109C	UTP10	Nucleolar protein, component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA	NA	NA
YJL111W	CCT7	Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo	NA	NA
YJL112W	MDV1	Peripheral protein of the cytosolic face of the mitochondrial outer membrane, required for mitochondrial fission	NA	NA
YJL115W	ASF1	Nucleosome assembly factor, involved in chromatin assembly and disassembly, anti-silencing protein that causes derepression of silent loci when overexpressed	NA	NA
YJL123C	MTC1	Protein of unknown function that may interact with ribosomes	NA	NA
YJL126W	NIT2	Nit protein, one of two proteins in S. cerevisiae with similarity to the Nit domain of NitFhit from fly and worm and to the mouse and human Nit protein which interacts with the Fhit tumor suppressor	NA	NA
YJL128C	PBS2	MAP kinase kinase that plays a pivotal role in the osmosensing signal-transduction pathway, activated under severe osmotic stress	NA	NA
YJL130C	URA2	Bifunctional carbamoylphosphate synthetase (CPSase)-aspartate transcarbamylase (ATCase), catalyzes the first two enzymatic steps in the de novo biosynthesis of pyrimidines	NA	Up
YJL131C	AIM23	Putative protein of unknown function	NA	NA
YJL132W	YJL132W	Putative protein of unknown function	NA	NA
YJL133W	MRS3	Iron transporter that mediates Fe2+ transport across the inner mitochondrial membrane	NA	NA
YJL136C	RPS21B	Protein component of the small (40S) ribosomal subunit	Down	Down
YJL138C	TIF2	Translation initiation factor eIF4A, identical to Tif1p	Down	Down
YJL140W	RPB4	RNA polymerase II subunit B32	NA	NA
YJL147C	YJL147C	Mitochondrial protein of unknown function	NA	NA
YJL149W	DAS1	Putative SCF ubiquitin ligase F-box protein	NA	NA
YJL153C	INO1	Inositol-3-phosphate synthase, involved in synthesis of inositol phosphates and inositol-containing phospholipids	NA	NA
YJL154C	VPS35	Endosomal subunit of membrane-associated retromer complex required for retrograde transport	NA	NA
YJL155C	FBP26	Fructose-2,6-bisphosphatase, required for glucose metabolism	NA	NA
YJL157C	FAR1	Cyclin-dependent kinase inhibitor that mediates cell cycle arrest in response to pheromone	NA	NA
YJL158C	CIS3	Mannose-containing glycoprotein constituent of the cell wall	NA	NA
YJL159W	HSP150	O-mannosylated heat shock protein that is secreted and covalently attached to the cell wall via beta-1,3-glucan and disulfide bridges	NA	Up
YJL167W	ERG20	Farnesyl pyrophosphate synthetase, has both dimethylallyltranstransferase and geranyltranstransferase activities	NA	NA
YJL168C	SET2	Histone methyltransferase with a role in transcriptional elongation, methylates a lysine residue of histone H3	NA	NA
YJL171C	YJL171C	GPI-anchored cell wall protein of unknown function	NA	Down
YJL172W	CPS1	Vacuolar carboxypeptidase yscS	Down	Down
YJL177W	RPL17B	Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl17Ap and has similarity to E. coli L22 and rat L17 ribosomal proteins	NA	Down
YJL178C	ATG27	Type I membrane protein involved in autophagy and the cytoplasm-to-vacuole targeting (Cvt) pathway	NA	NA
YJL180C	ATP12	Conserved protein required for assembly of alpha and beta subunits into the F1 sector of mitochondrial F1F0 ATP synthase	NA	NA
YJL186W	MNN5	Alpha-1,2-mannosyltransferase, responsible for addition of the second alpha-1,2-linked mannose of the branches on the mannan backbone of oligosaccharides, localizes to an early Golgi compartment	NA	NA
YJL190C	RPS22A	Protein component of the small (40S) ribosomal subunit	NA	Down
YJL194W	CDC6	Essential ATP-binding protein required for DNA replication, component of the pre-replicative complex (pre-RC) which requires ORC to associate with chromatin and is in turn required for Mcm2-7p DNA association	NA	NA
YJL198W	PHO90	Low-affinity phosphate transporter	NA	NA
YJL200C	ACO2	Putative mitochondrial aconitase isozyme	NA	NA
YJL201W	ECM25	Non-essential protein of unknown function	NA	NA
YJL204C	RCY1	F-box protein involved in recycling plasma membrane proteins internalized by endocytosis	NA	NA
YJL207C	LAA1	AP-1 accessory protein	NA	Down
YJL208C	NUC1	Major mitochondrial nuclease, has RNAse and DNA endo- and exonucleolytic activities	NA	NA
YJL213W	YJL213W	Protein of unknown function that may interact with ribosomes	NA	NA
YJL216C	IMA5	Alpha-glucosidase with specificity for isomaltose, maltose, and palatinose	NA	NA
YJL217W	REE1	Cytoplasmic protein involved in the regulation of enolase (ENO1)	NA	NA
YJR003C	YJR003C	Putative protein of unknown function	NA	NA
YJR005W	APL1	Beta-adaptin, large subunit of the clathrin associated protein complex (AP-2)	NA	NA
YJR007W	SUI2	Alpha subunit of the translation initiation factor eIF2, involved in the identification of the start codon	Down	Down
YJR009C	TDH2	Glyceraldehyde-3-phosphate dehydrogenase, isozyme 2, involved in glycolysis and gluconeogenesis	Down	NA
YJR010W	MET3	ATP sulfurylase, catalyzes the primary step of intracellular sulfate activation, essential for assimilatory reduction of sulfate to sulfide, involved in methionine metabolism	NA	NA
YJR014W	TMA22	Protein of unknown function	NA	NA
YJR016C	ILV3	Dihydroxyacid dehydratase, catalyzes third step in the common pathway leading to biosynthesis of branched-chain amino acids	Down	Down
YJR019C	TES1	Peroxisomal acyl-CoA thioesterase likely to be involved in fatty acid oxidation rather than fatty acid synthesis	NA	NA
YJR021C	REC107	Protein involved in early stages of meiotic recombination	NA	NA
YJR025C	BNA1	3-hydroxyanthranilic acid dioxygenase, required for the de novo biosynthesis of NAD from tryptophan via kynurenine	NA	Down
YJR030C	YJR030C	Putative protein of unknown function	NA	NA
YJR031C	GEA1	Guanine nucleotide exchange factor for ADP ribosylation factors (ARFs), involved in vesicular transport between the Golgi and ER, Golgi organization, and actin cytoskeleton organization	NA	NA
YJR033C	RAV1	Subunit of the RAVE complex (Rav1p, Rav2p, Skp1p), which promotes assembly of the V-ATPase holoenzyme	NA	NA
YJR035W	RAD26	Protein involved in transcription-coupled nucleotide excision repair of UV-induced DNA lesions	NA	NA
YJR036C	HUL4	Protein with similarity to hect domain E3 ubiquitin-protein ligases, not essential for viability	NA	NA
YJR041C	URB2	Nucleolar protein required for normal metabolism of the rRNA primary transcript, proposed to be involved in ribosome biogenesis	NA	NA
YJR045C	SSC1	Hsp70 family ATPase, constituent of the import motor component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex)	NA	NA
YJR049C	UTR1	ATP-NADH kinase	Down	NA
YJR051W	OSM1	Fumarate reductase, catalyzes the reduction of fumarate to succinate, required for the reoxidation of intracellular NADH under anaerobic conditions	NA	NA
YJR059W	PTK2	Putative serine/threonine protein kinase involved in regulation of ion transport across plasma membrane	NA	NA
YJR062C	NTA1	Amidase, removes the amide group from N-terminal asparagine and glutamine residues to generate proteins with N-terminal aspartate and glutamate residues that are targets of ubiquitin-mediated degradation	NA	NA
YJR064W	CCT5	Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo	NA	NA
YJR065C	ARP3	Essential component of the Arp2/3 complex, which is a highly conserved actin nucleation center required for the motility and integrity of actin patches	NA	NA
YJR066W	TOR1	PIK-related protein kinase and rapamycin target	NA	NA
YJR068W	RFC2	Subunit of heteropentameric Replication factor C (RF-C), which is a DNA binding protein and ATPase that acts as a clamp loader of the proliferating cell nuclear antigen (PCNA) processivity factor for DNA polymerases delta and epsilon	NA	NA
YJR070C	LIA1	Deoxyhypusine hydroxylase, a HEAT-repeat containing metalloenzyme that catalyzes hypusine formation	NA	NA
YJR075W	HOC1	Alpha-1,6-mannosyltransferase involved in cell wall mannan biosynthesis	NA	NA
YJR076C	CDC11	Component of the septin ring of the mother-bud neck that is required for cytokinesis	NA	NA
YJR077C	MIR1	Mitochondrial phosphate carrier, imports inorganic phosphate into mitochondria	NA	Up
YJR088C	EMC2	Member of a transmembrane complex required for efficient folding of proteins in the ER	NA	NA
YJR089W	BIR1	Subunit of chromosomal passenger complex (CPC	NA	NA
YJR090C	GRR1	F-box protein component of the SCF ubiquitin-ligase complex	NA	NA
YJR091C	JSN1	Member of the Puf family of RNA-binding proteins, interacts with mRNAs encoding membrane-associated proteins	NA	NA
YJR092W	BUD4	Protein involved in bud-site selection and required for axial budding pattern	NA	NA
YJR094W-A	RPL43B	Protein component of the large (60S) ribosomal subunit, identical to Rpl43Ap and has similarity to rat L37a ribosomal protein	NA	NA
YJR096W	YJR096W	Putative xylose and arabinose reductase	NA	NA
YJR103W	URA8	Minor CTP synthase isozyme (see also URA7), catalyzes the ATP-dependent transfer of the amide nitrogen from glutamine to UTP, forming CTP, the final step in de novo biosynthesis of pyrimidines	NA	NA
YJR104C	SOD1	Cytosolic copper-zinc superoxide dismutase	Up	Up
YJR105W	ADO1	Adenosine kinase, required for the utilization of S-adenosylmethionine (AdoMet)	Down	Down
YJR107W	YJR107W	Putative protein of unknown function	NA	NA
YJR109C	CPA2	Large subunit of carbamoyl phosphate synthetase, which catalyzes a step in the synthesis of citrulline, an arginine precursor	NA	NA
YJR110W	YMR1	Phosphatidylinositol 3-phosphate (PI3P) phosphatase	NA	NA
YJR112W	NNF1	Essential component of the MIND kinetochore complex (Mtw1p Including Nnf1p-Nsl1p-Dsn1p) which joins kinetochore subunits contacting DNA to those contacting microtubules	NA	Down
YJR117W	STE24	Highly conserved zinc metalloprotease that functions in two steps of a-factor maturation, C-terminal CAAX proteolysis and the first step of N-terminal proteolytic processing	NA	NA
YJR121W	ATP2	Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis	Up	Up
YJR123W	RPS5	Protein component of the small (40S) ribosomal subunit, the least basic of the non-acidic ribosomal proteins	NA	Down
YJR130C	STR2	Cystathionine gamma-synthase, converts cysteine into cystathionine	NA	NA
YJR131W	MNS1	Alpha-1,2-mannosidase involved in ER quality control	NA	NA
YJR133W	XPT1	Xanthine-guanine phosphoribosyl transferase, required for xanthine utilization and for optimal utilization of guanine	NA	NA
YJR137C	MET5	Sulfite reductase beta subunit, involved in amino acid biosynthesis, transcription repressed by methionine	NA	NA
YJR138W	IML1	Protein of unknown function, green fluorescent protein (GFP)-fusion protein localizes to the vacuolar membrane	NA	NA
YJR139C	HOM6	Homoserine dehydrogenase (L-homoserine:NADP oxidoreductase), dimeric enzyme that catalyzes the third step in the common pathway for methionine and threonine biosynthesis	Down	Down
YJR140C	HIR3	Subunit of the HIR complex, a nucleosome assembly complex involved in regulation of histone gene transcription	NA	NA
YJR143C	PMT4	Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues	NA	NA
YJR144W	MGM101	Protein involved in mitochondrial genome maintenance	NA	NA
YJR148W	BAT2	Cytosolic branched-chain amino acid aminotransferase, homolog of murine ECA39	NA	NA
YKL001C	MET14	Adenylylsulfate kinase, required for sulfate assimilation and involved in methionine metabolism	Down	NA
YKL006W	RPL14A	N-terminally acetylated protein component of the large (60S) ribosomal subunit, nearly identical to Rpl14Bp and has similarity to rat L14 ribosomal protein	NA	NA
YKL007W	CAP1	Alpha subunit of the capping protein (CP) heterodimer (Cap1p and Cap2p) which binds to the barbed ends of actin filaments preventing further polymerization	NA	NA
YKL009W	MRT4	Protein involved in mRNA turnover and ribosome assembly, localizes to the nucleolus	NA	NA
YKL010C	UFD4	Ubiquitin-protein ligase (E3) that interacts with Rpt4p and Rpt6p, two subunits of the 19S particle of the 26S proteasome	NA	NA
YKL014C	URB1	Nucleolar protein required for the normal accumulation of 25S and 5.8S rRNAs, associated with the 27SA2 pre-ribosomal particle	Up	NA
YKL020C	SPT23	ER membrane protein involved in regulation of OLE1 transcription, acts with homolog Mga2p	NA	NA
YKL022C	CDC16	Subunit of the anaphase-promoting complex/cyclosome (APC/C), which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition	NA	NA
YKL024C	URA6	Uridylate kinase, catalyzes the seventh enzymatic step in the de novo biosynthesis of pyrimidines, converting uridine monophosphate (UMP) into uridine-5'-diphosphate (UDP)	Down	NA
YKL029C	MAE1	Mitochondrial malic enzyme, catalyzes the oxidative decarboxylation of malate to pyruvate, which is a key intermediate in sugar metabolism and a precursor for synthesis of several amino acids	NA	NA
YKL033W	TTI1	Putative protein of unknown function	NA	NA
YKL033W-A	YKL033W-A	Putative protein of unknown function	NA	NA
YKL035W	UGP1	UDP-glucose pyrophosphorylase (UGPase), catalyses the reversible formation of UDP-Glc from glucose 1-phosphate and UTP, involved in a wide variety of metabolic pathways, expression modulated by Pho85p through Pho4p	Down	NA
YKL039W	PTM1	Protein of unknown function, copurifies with late Golgi vesicles containing the v-SNARE Tlg2p	NA	NA
YKL040C	NFU1	Protein involved in iron metabolism in mitochondria	NA	NA
YKL042W	SPC42	Central plaque component of spindle pole body (SPB)	NA	NA
YKL048C	ELM1	Serine/threonine protein kinase that regulates cellular morphogenesis, septin behavior, and cytokinesis	NA	NA
YKL050C	YKL050C	Protein of unknown function	NA	NA
YKL054C	DEF1	RNAPII degradation factor, forms a complex with Rad26p in chromatin, enables ubiquitination and proteolysis of RNAPII present in an elongation complex	NA	Down
YKL056C	TMA19	Protein that associates with ribosomes	Up	Up
YKL058W	TOA2	TFIIA small subunit	NA	NA
YKL060C	FBA1	Fructose 1,6-bisphosphate aldolase, required for glycolysis and gluconeogenesis	Up	Up
YKL062W	MSN4	Transcriptional activator related to Msn2p	NA	NA
YKL064W	MNR2	Vacuolar membrane protein required for magnesium homeostasis	NA	NA
YKL067W	YNK1	Nucleoside diphosphate kinase, catalyzes the transfer of gamma phosphates from nucleoside triphosphates, usually ATP, to nucleoside diphosphates by a mechanism that involves formation of an autophosphorylated enzyme intermediate	Down	Down
YKL071W	YKL071W	Putative protein of unknown function	NA	NA
YKL073W	LHS1	Molecular chaperone of the endoplasmic reticulum lumen, involved in polypeptide translocation and folding	NA	NA
YKL074C	MUD2	Protein involved in early pre-mRNA splicing	NA	NA
YKL075C	YKL075C	Putative protein of unknown function	NA	NA
YKL077W	YKL077W	Putative protein of unknown function	Up	NA
YKL079W	SMY1	Protein that interacts with Myo2p, proposed to be involved in exocytosis	NA	NA
YKL080W	VMA5	Subunit C of the eight-subunit V1 peripheral membrane domain of vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found throughout the endomembrane system	Down	Down
YKL081W	TEF4	Gamma subunit of translational elongation factor eEF1B, stimulates the binding of aminoacyl-tRNA (AA-tRNA) to ribosomes by releasing eEF1A (Tef1p/Tef2p) from the ribosomal complex	Down	Down
YKL082C	RRP14	Essential protein, constituent of 66S pre-ribosomal particles	NA	NA
YKL085W	MDH1	Mitochondrial malate dehydrogenase, catalyzes interconversion of malate and oxaloacetate	Up	Up
YKL089W	MIF2	Kinetochore protein with homology to human CENP-C, required for structural integrity of the spindle during anaphase spindle elongation, interacts with histones H2A, H2B, and H4, phosphorylated by Ipl1p	NA	NA
YKL094W	YJU3	Monoglyceride lipase (MGL), functional ortholog of mammalian MGL, localizes to lipid particles and membranes, also member of the eukaryotic serine hydrolase family	NA	NA
YKL096W	CWP1	Cell wall mannoprotein that localizes specifically to birth scars of daughter cells, linked to a beta-1,3- and beta-1,6-glucan heteropolymer through a phosphodiester bond	Up	Up
YKL098W	MTC2	Protein of unknown function	NA	NA
YKL100C	YKL100C	Putative protein of unknown function with similarity to a human minor histocompatibility antigen and signal peptide peptidases	NA	NA
YKL101W	HSL1	Nim1p-related protein kinase that regulates the morphogenesis and septin checkpoints	NA	Down
YKL103C	LAP4	Vacuolar aminopeptidase yscI	NA	NA
YKL104C	GFA1	Glutamine-fructose-6-phosphate amidotransferase, catalyzes the formation of glucosamine-6-P and glutamate from fructose-6-P and glutamine in the first step of chitin biosynthesis	NA	NA
YKL105C	YKL105C	Putative protein of unknown function	NA	NA
YKL106W	AAT1	Mitochondrial aspartate aminotransferase, catalyzes the conversion of oxaloacetate to aspartate in aspartate and asparagine biosynthesis	NA	NA
YKL117W	SBA1	Co-chaperone that binds to and regulates Hsp90 family chaperones	NA	NA
YKL119C	VPH2	Integral membrane protein required for vacuolar H+-ATPase (V-ATPase) function, although not an actual component of the V-ATPase complex	NA	NA
YKL122C	SRP21	Subunit of the signal recognition particle (SRP), which functions in protein targeting to the endoplasmic reticulum membrane	NA	NA
YKL127W	PGM1	Phosphoglucomutase, minor isoform	NA	Up
YKL129C	MYO3	One of two type I myosins	NA	NA
YKL134C	01. Okt	Mitochondrial intermediate peptidase, cleaves N-terminal residues of a subset of proteins upon import, after their cleavage by mitochondrial processing peptidase (Mas1p-Mas2p)	NA	NA
YKL135C	APL2	Beta-adaptin, large subunit of the clathrin-associated protein (AP-1) complex	NA	NA
YKL142W	MRP8	Protein of unknown function	NA	NA
YKL145W	RPT1	One of six ATPases of the 19S regulatory particle of the 26S proteasome involved in the degradation of ubiquitinated substrates	NA	NA
YKL150W	MCR1	Mitochondrial NADH-cytochrome b5 reductase, involved in ergosterol biosynthesis	Up	Up
YKL151C	YKL151C	Putative protein of unknown function	NA	Up
YKL152C	GPM1	Tetrameric phosphoglycerate mutase, mediates the conversion of 3-phosphoglycerate to 2-phosphoglycerate during glycolysis and the reverse reaction during gluconeogenesis	Up	Up
YKL157W	APE2	Aminopeptidase yscII	NA	NA
YKL164C	PIR1	O-glycosylated protein required for cell wall stability	NA	Up
YKL168C	KKQ8	Putative serine/threonine protein kinase with unknown cellular role	Up	NA
YKL171W	NNK1	Protein kinase	NA	NA
YKL172W	EBP2	Essential protein required for the maturation of 25S rRNA and 60S ribosomal subunit assembly, localizes to the nucleolus	NA	NA
YKL173W	SNU114	GTPase component of U5 snRNP involved in mRNA splicing via spliceosome	NA	NA
YKL176C	LST4	Protein possibly involved in a post-Golgi secretory pathway	NA	NA
YKL179C	COY1	Golgi membrane protein with similarity to mammalian CASP	NA	NA
